Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,47.18209693110177,inf,42.40677061093617,4024.484464464443,0.6475181685768658
Random Forest Regressor,51.080988632661295,inf,67.0052873481914,7098.975932303772,0.3782408504886171
Support Vector Regressor,60.179457092581146,inf,92.46642800737307,12171.60736440052,-0.06604224542288772
Kernel Ridge Regressor,54.55333927278712,inf,71.26902316902371,8055.340489278656,0.29447828822077116
K-NN Regressor,54.37438675013904,inf,65.66339275440305,7268.255082472687,0.36341464718229344
Gaussian Process Regressor,70.89888723192944,inf,81.62810942174646,11689.800458494461,-0.023843503674562783
Gradient Boosting Regressor,48.63516829417827,inf,57.601389313123704,5683.299645805086,0.5022319292400574
TPOT Regressor,52.0268390171063,inf,64.09853428675397,6815.414075822069,0.403076429648373
Ensemble Model,38.18028903733136,inf,44.11395149784725,3403.7751877285846,0.7018825833427953
